Source,Target,Strength
1006223461,3383049855,3
1006704806,471672239,3
1008951163,358545917,3
1008951163,74841347,3
1013865253,769504943275466753,3
101896473,728438127119851522,6
102268811,19211550,3
102268811,358545917,6
102304238,109065990,5
1025294424,778719588716470273,3
1026182053,26487169,5
1026182053,471672239,3
102824312,2534195028,3
1031086644,358545917,3
103139501,331057915,3
1032595405,1032595405,6
103289864,783046681,4
104318294,331057915,3
104552862,236487888,6
104595364,471672239,3
1046224184,884024311,3
1048774327,26487169,3
104940469,130496027,3
105299748,105299748,4
105345807,471672239,3
105607918,331057915,3
105726415,407490941,3
1064203465,236487888,4
1064203465,26487169,4
106622252,471672239,3
1067148937,358545917,3
1067528358,471672239,4
107017897,358545917,3
1070399952,884024311,4
107721194,56037463,3
1077541242,4761064634,3
107766082,56037463,4
107773310,56037463,5
1078211426,24127811,3
107980048,236487888,4
108057555,777879358451093504,3
108288348,108288348,3
1083654594,26487169,3
1084264573,459872442,7
1086656658,462104542,5
108985609,56037463,3
109057738,26487169,3
1094197688,875627605,3
1100253632,24127811,4
1101083736,358545917,3
110520517,16122121,3
1105310256,331376866,3
1106503729,280032759,4
1106503729,896258742,3
1106703680,1106703680,3
1107232490,24127811,3
110728224,112944623,4
1110194262,111216929,4
111225697,393190233,3
111989084,331057915,3
112614146,24127811,6
112614146,358545917,3
1126785380,347627434,12
1131943926,2534195028,4
1133241936,705333567543504896,3
1134681,24127811,6
1139455316,466144416,3
1140206870,26487169,3
1142469860,18071473,4
1143033450,26487169,3
114558569,109065990,3
1145724890,358545917,4
114870635,114870635,3
114872258,16163639,4
1150914516,358545917,5
1150914516,779739206339928064,3
115125517,26487169,3
115496935,4761064634,3
115681686,115681686,6
1160681953,26487169,3
116594869,346924655,3
119534385,471672239,3
1198570398,396158429,3
1221486553,24127811,3
1221486553,471672239,3
122241218,26487169,3
1222757654,459872442,5
1222757654,550708707,4
1224996284,17007782,3
1226512668,59550291,3
122783937,122783937,11
123171022,24127811,4
1232348810,466144416,4
1232727414,471672239,3
1236234241,471672239,4
